"OldRelative","NewRelative","OldMB","NewMB","Dimensions"
"VIRTURA_WEBSITE_ASSETS\01_AI_GALA\detail_05_robot-light.png","VIRTURA_WEBSITE_ASSETS\01_AI_GALA\detail_05_robot-light.webp","1.398","0.057","1812x903"
"VIRTURA_WEBSITE_ASSETS\01_AI_GALA\detail_06_robot-shadow.png","VIRTURA_WEBSITE_ASSETS\01_AI_GALA\detail_06_robot-shadow.webp","1.199","0.031","1837x897"
"VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\amethyst-mosaic.png","VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\amethyst-mosaic.webp","4.506","0.293","2775x1898"
"VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\crystal-data-glitch.png","VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\crystal-data-glitch.webp","1.66","0.194","1412x896"
"VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\crystal-flow-pink.png","VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\crystal-flow-pink.webp","1.378","0.139","1412x699"
"VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\crystal-landscape-pink.png","VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\crystal-landscape-pink.webp","1.615","0.132","1987x815"
"VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\mineral-flow-dark.png","VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\mineral-flow-dark.webp","1.065","0.122","1770x766"
"VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\mineral-scan-color.png","VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\mineral-scan-color.webp","2.152","0.165","2008x913"
"VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\quartz-cluster-mono.png","VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\quartz-cluster-mono.webp","1.626","0.188","2545x1567"
"VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\quartz-field-mono.png","VIRTURA_WEBSITE_ASSETS\02_NATGEO_CRYSTAL\quartz-field-mono.webp","4.779","0.312","2665x1846"
"VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\detail_03_drop-flow-ufo.jpeg","VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\detail_03_drop-flow-ufo.webp","2.587","1.036","4032x3024"
"VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_03_live.jpg","VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_03_live.webp","2.587","1.036","4032x3024"
"VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_04_structure.png","VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_04_structure.webp","7.194","1.644","3840x2160"
"VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_05_previs.png","VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_05_previs.webp","8.821","0.846","3840x2160"
"VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_06_blocks.png","VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_06_blocks.webp","8.583","0.896","3840x2160"
"VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_07_title.png","VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_07_title.webp","11.474","1.496","3840x2160"
"VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_08_garden.png","VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\dropflow_08_garden.webp","12.439","1.75","3840x2160"
"VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\process.jpg","VIRTURA_WEBSITE_ASSETS\03_UFO_CIRCULAR_SERIES\process.webp","1.4","0.74","2350x2160"
"VIRTURA_WEBSITE_ASSETS\04_TITAN\process.jpg","VIRTURA_WEBSITE_ASSETS\04_TITAN\process.webp","3.86","0.562","3840x2160"
"VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_01_xray.png","VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_01_xray.webp","1.078","0.104","1528x958"
"VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_02_panorama.png","VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_02_panorama.webp","3.592","0.244","1920x1080"
"VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_03_structure.png","VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_03_structure.webp","6.717","0.838","3435x1601"
"VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_04_facade.png","VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_04_facade.webp","7.447","0.95","3393x1711"
"VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_05_roof.png","VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_05_roof.webp","5.848","0.923","2146x1517"
"VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_06_vertical.png","VIRTURA_WEBSITE_ASSETS\06_SYSTEM_ERSHA\detail_06_vertical.webp","2.9","0.399","1882x1007"
